bin_size_pct,max_drop_pct,initial_alloc_pct,exit_sma_window,cagr,total_return,max_drawdown,win_rate,n_trades,avg_trade_return
0.05,0.3,0.4,75,0.09,0.541,-0.296,0.842,19,0.166
0.07,0.15,0.4,30,0.089,0.531,-0.296,1.0,10,0.134
0.12,0.3,0.3,60,0.089,0.531,-0.216,1.0,5,0.296
0.07,0.3,0.2,30,0.089,0.53,-0.296,1.0,13,0.164
0.07,0.2,0.4,30,0.089,0.531,-0.296,1.0,10,0.134
0.12,0.2,0.1,30,0.087,0.514,-0.296,1.0,3,0.149
0.12,0.15,0.5,30,0.087,0.514,-0.296,1.0,3,0.149
0.12,0.15,0.2,30,0.087,0.514,-0.296,1.0,3,0.149
0.12,0.15,0.1,30,0.087,0.514,-0.296,1.0,3,0.149
0.12,0.15,0.3,30,0.087,0.514,-0.296,1.0,3,0.149
0.12,0.15,0.4,30,0.087,0.514,-0.296,1.0,3,0.149
0.12,0.2,0.2,30,0.087,0.514,-0.296,1.0,3,0.149
0.12,0.2,0.5,30,0.087,0.514,-0.296,1.0,3,0.149
0.12,0.2,0.4,30,0.087,0.514,-0.296,1.0,3,0.149
0.12,0.2,0.3,30,0.087,0.514,-0.296,1.0,3,0.149
0.12,0.3,0.4,75,0.087,0.518,-0.216,1.0,5,0.278
0.07,0.3,0.1,30,0.087,0.515,-0.296,1.0,13,0.164
0.07,0.2,0.3,30,0.086,0.509,-0.296,1.0,10,0.134
